Year,Population,Birth_rate,Death_rate,Food_supply_kcal_per_cap_per_day,Food_per_capita_ve,Food_per_capita_proportion,Pollution_CO2,Pollution_CO2_dt,Pollution_proportion,Expected_years_of_schooling,Expected_years_of_schooling_proportion,IPP,IPP_proportion,IPP_USA,IPP_USA_proportion,Fossil_fuel_consumption_TWh,Fossil_fuel_consumption_proportion,Human_Welfare,Ecological_Footprint,Arable_land_pc,Arable_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0,0,0,0,0,0,301.875860376956,0,0,0,0,0,0,5.129426,0.047755,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,0,0,0,0,0,0,,0,0,0,0,0,0,3.942788,-0.231339,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,0,0,0,0,0,0,,0,0,0,0,0,0,5.02255,0.273857483587756,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,0,0,0,0,0,0,304.690081309538,0,0,0,0,0,0,5.984312,0.191488785577048,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,0,0,0,0,0,0,,0,0,0,0,0,0,5.605833,-0.063245,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,0,0,0,0,0,0,304.842535742001,0,0,0,0,0,0,6.171325,0.100876,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,0,0,0,0,0,0,,0,0,0,0,0,0,6.543095,0.060242,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,0,0,0,0,0,0,,0,0,0,0,0,0,6.543111,0.000002,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,0,0,0,0,0,0,306.843305171578,0,0,0,0,0,0,6.803592,0.039810,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,0,0,0,0,0,0,305.62304678448,0,0,0,0,0,0,7.544959,0.108967,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,0,0,0,0,0,0,,0,0,0,0,0,0,6.275962,-0.168191,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,0,0,0,0,0,0,305.740918694277,0,0,0,0,0,0,5.193978,-0.172401,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,0,0,0,0,0,0,308.255562234367,0,0,0,0,0,0,4.067447,-0.216892,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,0,0,0,0,0,0,307.111613692216,0,0,0,0,0,0,4.795452,0.178983,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,0,0,0,0,0,0,308.353085198892,0,0,0,0,0,0,5.222916,0.089139,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,0,0,0,0,0,0,306.319798387692,0,0,0,0,0,0,6.028842,0.154306,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,0,0,0,0,0,0,308.301642715495,0,0,0,0,0,0,7.121957,0.181314,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,0,0,0,0,0,0,307.407693174587,0,0,0,0,0,0,7.796499,0.094713,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,0,0,0,0,0,0,311.067672962998,0,0,0,0,0,0,6.157972,-0.210162,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,0,0,0,0,0,0,310.834230924261,0,0,0,0,0,0,7.571674,0.229573,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,0,0,0,0,0,0,310.37600086998,0,0,0,0,0,0,8.744942,0.154955,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,0,0,0,0,0,0,309.770465651637,0,0,0,0,0,0,11.03581,0.261964916405392,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,0,0,0,0,0,0,312.371908387749,0,0,0,0,0,0,12.65656,0.14686,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,0,0,0,0,0,0,,0,0,0,0,0,0,15.36596,0.21407,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,0,0,0,0,0,0,312.361640195074,0,0,0,0,0,0,16.53476,0.07606,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,0,0,0,0,0,0,310.938398505038,0,0,0,0,0,0,14.1927,-0.141644632277699,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,0,0,0,0,0,0,312.263410746509,0,0,0,0,0,0,12.2291,-0.1384,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,0,0,0,0,0,0,311.614631161879,0,0,0,0,0,0,13.75191,0.124523472700362,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,0,0,0,0,0,0,311.570949997612,0,0,0,0,0,0,14.33295,0.04225,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,0,0,0,0,0,0,309.693993606641,0,0,0,0,0,0,13.54484,-0.05499,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,0,0,0,0,0,0,312.831031129258,0,0,0,0,0,0,15.67766,0.15746,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,0,0,0,0,0,0,,0,0,0,0,0,0,17.00452,0.08463,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
