Data_arable_land
Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2022-07-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;423000;433000;435000;435000;450000;455000;455000;450000;450000;455000;455000;455000;455000;455000;452900;452100;450400;449400;448500;449200;448400;448200;447500;446700;446400;446000;445600;;;;
;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1200;1200;1200;1500;2000;2000;2400;2500;2500;2500;2500;3340;3300;3300;3300;3000;2960;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;;;;
;;;;;8000;7000;8000;7000;8000;8000;7000;7000;8000;8000;7000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;;;;
;;;;;14378586.3;15515793.3;15383456.4;16296054.9;17327635.2;18785364.6;19273837.5;21411462.9;19636044;18493980.6;16857000;17047000;14924000;14778000;13573000;14472000;14843000;16635000;17270000;17786000;18226000;19443000;19249000;21739000;20963000;20677000;19600000;18136000;17527000;16956000;17208000;16226000;17111000;17843000;16837000;19193000;20904000;21350000;22994000;23473000;24200000;23735000;23240000;25743000;26402000;24228000;23125000;23994100;27141600;25450200;31694900;31637400;31220800;31960300;31090700;30057000;30752000;30974000;;;;
;;;;;1689000;1681000;1656000;1657000;1660000;1616000;1600000;1601000;1585000;1586000;1587000;1588000;1514000;1514000;1511000;1520000;1529000;1547000;1523000;1536000;1549000;1535000;1439000;1445000;1448000;1439000;1439000;1458000;1459000;1426000;1445000;1436000;1419000;1423000;1414000;1410000;1406000;1404000;1402000;1399000;1387000;1385000;1380030;1379300;1380700;1377200;1376000;1369000;1366600;1363800;1359600;1355100;1353900;1351700;1346100;1344490;1328940;1327150;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1704500;1715800;1723600;1726300;1784800;1801200;1809700;1824900;1825600;1835700;1837300;1838500;1840700;1843200;1841300;1854000;1860200;1874000;1884100;1885700;1896800;1925300;1926500;1937700;1999000;2094500;2097900;;;;
;;;;;675000;700000;724000;744000;756000;753000;788000;800000;992000;940000;929000;896000;930000;930000;930000;935000;942000;935000;930000;930000;930000;930000;930000;930000;930000;930000;930000;930000;930000;930000;930000;930000;930000;930000;940000;940000;950000;950000;960000;960000;975000;986000;990000;985000;956000;900000;850000;900000;950000;950000;1000000;1100000;1200000;1200000;1200000;1200000;1200000;1200000;;;;
;;;;;1007000;1004000;1001000;998000;996000;994000;990000;989000;988000;987000;987000;987000;985000;983000;982000;981000;977000;971000;962000;762000;760000;758000;759000;762000;764000;765000;668000;767000;767000;766000;760000;832000;841000;940000;874000;862000;870000;873000;873000;862000;845000;832000;835000;840000;843000;842000;839000;844000;840000;834000;825000;803000;816000;817000;829500;849400;836000;850000;;;;
;;;;;920000;940000;960000;980000;1000000;1030000;1070000;1100000;1180000;1200000;1250000;1280000;1300000;1330000;1370000;1400000;1430000;1450000;1470000;1500000;1530000;1550000;1560000;1570000;1580000;1590000;1600000;1610000;1620000;1615000;1620000;1630000;1650000;1700000;1790000;1950000;2100000;2250000;2300000;2380000;2450000;2550000;2650000;2650000;2654000;2500000;2500000;2500000;2500000;2500000;2500000;2600000;2700000;2700000;2700000;2800000;2800000;2800000;;;;
;;;;;2124000;2134000;2144000;2149000;2159000;2170000;2180000;2190000;2202000;2216000;2200000;2282000;2353000;2433000;2506000;2550000;2600000;2650000;2700000;2745000;2790000;2840000;2885000;2930000;2980000;3025000;3075000;3494000;3530000;3505000;3480000;3455000;3430000;3361000;3380000;3480000;3780000;3900000;3900000;3700000;4500000;4700000;5100000;4600000;4900000;4700000;4900000;6000000;5700000;6000000;5700000;6000000;6200000;6000000;6000000;6000000;6000000;6000000;;;;
;;;;;8605000;8597000;8605000;8640000;8777000;8798000;8843000;8829000;8810000;8837000;8837000;9133000;9131000;9131000;9144000;9138000;9131000;9125000;9118000;9121000;9109000;9104000;9089000;9185000;9152000;9161000;9235000;9537000;9553000;9456000;9385000;8609000;8506000;8408000;8404000;8357000;8390000;8454000;8436000;8350000;8303000;8253000;8228000;8143000;7911000;7880000;7816000;7803000;7796000;7791000;7678000;7670000;7678000;7669000;7732240;7764210;7757330;7772300;;;;
;;;;;4252000;4154000;4138000;4180000;4167000;4166000;4146000;4154000;4158000;4142000;4132000;4128000;4120000;4098000;3957000;3940000;3937000;3926000;3897000;3827000;3824000;3818000;3812000;3807000;3810000;3819000;3825000;3840000;3848000;3856000;3864000;4047000;4063000;4001000;3998000;4203000;4298000;3536000;3578000;3526000;3467000;3355000;3323000;3313000;3173000;3132000;3085000;3088000;3146000;3186000;3250000;3317000;3479000;3486000;3509700;3496000;3489080;3478000;;;;
;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;1700;1500;1500;1450;1400;1200;1360;1600;1600;1600;1600;1600;1600;1600;1600;1600;;;;
;;;;;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;8000;8000;8000;8000;8000;8000;8000;8000;8000;6000;6000;6000;6000;6000;6000;7000;7000;7000;7000;7000;7000;7000;7000;7000;9000;9000;8000;8000;8000;8000;8000;8000;8000;8000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;850000;850000;850000;850000;900000;900000;950000;950000;1000000;1010000;997000;1017000;1028000;1025000;1027000;1022000;1008000;997000;1004000;1005000;1003000;1009000;1006000;1022000;1026000;1060000;1029000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6084000;6104000;6225000;6232000;6230000;6175000;6187000;6182000;6133000;5761000;5616000;5569000;5548000;5542000;5540000;5519000;5516000;5544000;5535000;5529000;5522000;5559700;5662100;5677400;5683800;5727000;5712000;;;;
;;;;;36000;36000;37000;37000;37000;38000;38000;38000;39000;39000;40000;40000;41000;41000;42000;42000;43000;43000;43000;45000;46000;46000;46000;46000;43000;44000;49000;50000;52000;52000;54000;56000;60000;60000;62000;63000;64000;64000;64000;64000;65000;70000;70000;70000;70000;70000;70000;70000;73000;75000;75000;78000;78000;78000;88000;88000;90000;90000;;;;
;;;;;400;300;300;400;400;400;400;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;400;400;400;400;400;400;400;400;400;400;400;400;400;300;300;300;300;300;300;300;300;300;300;300;;;;
;;;;;1294000;1296000;1304000;1341000;1375000;1414000;1448000;1488000;1527000;1564000;1591000;1634000;1678000;1711000;1752000;1807000;1845000;1877000;1910000;1943000;1980000;2018000;2051000;2093000;2050000;2060000;2070000;2080000;2090000;2100000;2110000;2150000;2200000;2350000;2600000;2690000;2872000;2974000;3070000;3144000;3150000;3300000;3514000;3579000;3806000;3905000;4171000;4266000;4454000;4297000;4338000;4422000;4506000;4469000;4416000;4438000;4241000;4480000;;;;
;;;;;23628000;24157000;24687000;25216000;25745000;26274000;26803000;27332000;27861000;28206000;29329000;30452000;31574000;32697000;33822000;36567000;39311000;42056000;44800000;47546208;48543000;49540000;50537000;51534000;52907707;51794000;50681000;49567000;48454000;47340000;46226000;45113000;43999000;42886000;42563000;43140000;43717000;44294000;44871000;45448000;46025000;46602000;47179000;47756000;48333000;48914000;49537000;50159000;50782000;51405000;52027000;52650000;53272000;53895000;54518000;55140000;55762000;55762000;;;;
;;;;;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;16000;15000;15000;15000;14000;14000;13000;13000;13000;13000;13000;13000;12000;11000;10000;9500;9000;8000;7000;7000;7000;;;;
;;;;;4000;4000;4000;4000;4000;6000;6000;6000;6000;6000;4000;4000;4000;4000;4000;4000;4000;4000;4000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;4000;4000;4000;4000;5000;5000;5000;5000;5000;5000;;;;
;;;;;100000;100000;100000;100000;100000;100000;100000;100000;100000;110000;110000;110000;110000;115000;115000;120000;120000;120000;125000;130000;130000;135000;145000;145000;145000;145000;146000;141000;133000;135000;135000;135000;136000;140000;146000;151000;153000;153000;153000;106000;111000;111000;111000;158000;167000;151300;136300;100000;100000;100600;100200;100200;100200;100200;100200;100000;94500;94000;;;;
;;;;;399000;399000;399000;399000;400000;400000;400000;400000;400000;400000;400000;401000;401000;401000;401000;401000;401000;401000;403000;403000;403000;405000;405000;405000;407000;407000;409000;409000;414000;420000;300000;250000;350000;395000;345000;345000;300000;230000;240000;350000;200000;245000;195000;226000;240000;201000;182000;279000;316000;259000;324000;285000;280000;402000;259600;259600;259600;259600;;;;
;;;;;1680000;1690000;1700000;1710000;1720000;1730000;1740000;1750000;1760000;1770000;1780000;1790000;1800000;1810000;1820000;1830000;1840000;1850000;1860000;1870000;1870000;1880000;1890000;1900000;1900000;1920000;1920000;1920000;1920000;1920000;1920000;1930000;1930000;1930000;1930000;1930000;1930000;1930000;1930000;1930000;1930000;1930000;1910000;1930000;1930000;1930000;1930000;1930000;1950000;1800000;1800000;1800000;1800000;1800000;1800000;1800000;1800000;1800000;;;;
;;;;;36610000;36935000;37260000;37585000;37910000;38230000;38298000;38366000;38434000;38502000;38568000;38690000;38812000;38934000;39056000;39176000;39456000;39736000;40016000;40296000;40578000;40778000;40978000;41178000;41378000;41579000;41526000;41473000;41420000;41367000;41317409.9;41266000;41214000;41162000;41110000;41059000;41037000;41015000;40993000;40971000;40948000;40615000;40282000;39949000;39616000;39283000;38884000;38485000;38086000;37687000;37285000;37534000;37783000;38032000;38282000;38530000;38509000;38687000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;396100;397700;387900;383800;377700;371000;363400;359700;360000;355900;356900;363000;362800;365400;368900;369500;369900;375300;376900;381100;384600;388900;394500;402400;405000;404100;398700;402200;408600;403700;407500;406100;409900;419200;422200;420900;415500;413300;410600;408800;409400;408300;406900;406500;406200;407000;406600;406300;406000;404500;403900;403800;402901.7;399441.8;398398.8;398695.2;398184;398138.9;;;;
;;;;;4000;4000;4000;4000;4000;4000;4000;4000;4100;4100;4100;4100;4000;4000;4000;4000;4000;3900;3900;3900;3900;3900;3800;3800;3800;3800;3800;3700;3700;3700;3700;3700;3600;3600;3600;3600;3500;3700;3900;3900;3700;3600;3600;3700;3800;3600;3400;3700;4100;4310;4410;4360;4210;4170;3960;3990;3820;3820;;;;
;;;;;3640000;3660000;3680000;3700000;3720000;3740000;3760000;3780000;3800000;3902000;3952000;4002000;4102000;4152000;4152000;4198000;4095000;3992000;3889000;3836000;3733000;3580000;3528000;3475000;3444000;3354000;3076000;3059000;3070000;2802000;2685000;2440000;2304000;2276000;2120000;1985000;1982000;1979000;1800000;1750000;1750000;1650000;1500000;1500000;1450000;1350000;1262000;1312000;1310000;1271000;1317000;1283000;1309000;1289200;1313000;1269800;1282000;1213000;;;;
;;;;;103397000;103100000;102903000;102705000;102458000;102001000;101514000;101027000;100562000;100067000;99634000;99170000;98697000;99258000;97786000;97602333.3;97417666.7;97221000;97082500;96949000;97549000;102450000;108051000;114744000;120835000;121220000;120913000;121592000;122886000;124481000;125545000;123562000;121956000;121353000;120234000;119992000;119684250;119673500;119669750;119666000;120257844.4;120649688.9;120835533.3;121021377.8;121267222.2;121607066.7;121546911.1;121791755.6;121983600;121369800;120640100;119959500;119761500;119655000;119593400;119512900;119491100;119488700;;;;
;;;;;1680000;1680000;1680000;1680000;1680000;1680000;1700000;1700000;1700000;1700000;1700000;1710000;1740000;1775000;1815000;1840000;1880000;1910000;1925000;1955000;1970000;1990000;2034000;2301000;2380000;2380000;2400000;2420000;2420000;2430000;2450000;2600000;2902000;3000000;3000000;3000000;2900000;2900000;2800000;2800000;2800000;2800000;2800000;2800000;2800000;2800000;2900000;2900000;2900000;2900000;2900000;3000000;3500000;3500000;3500000;3500000;3500000;3500000;;;;
;;;;;5000000;5050000;5100000;5150000;5200000;5250000;5300000;5350000;5400000;5400000;5450000;5450000;5450000;5500000;5550000;5600000;5666000;5639000;5898000;5910000;5910000;5910000;5910000;5910000;5910000;5930000;5930000;5940000;5940000;5940000;5950000;5960000;5960000;5960000;5960000;5960000;5960000;5960000;5960000;5960000;5960000;5960000;5960000;5960000;5963000;5963000;5963000;5963000;5963000;6200000;6200000;6200000;6200000;6200000;6200000;6200000;6200000;6200000;;;;
;;;;;6400000;6400000;6400000;6380000;6360000;6360000;6370000;6400000;6420000;6440000;6470000;6500000;6520000;6550000;6545000;6590000;6610000;6620000;6600000;6620000;6650000;6640000;6650000;6670000;6700000;6720000;6700000;6700000;6700000;6670000;6680000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6700000;6750000;6790000;6800000;7000000;11476000;11900000;12400000;12500000;12300000;11800000;11800000;;;;
;;;;;520000;520000;520000;518000;518000;518000;518000;518000;519000;520000;520000;520000;524000;526000;527000;531000;528000;483000;485000;488000;491000;516000;520000;522000;528000;525000;498000;500000;502000;479000;481000;480000;485000;473000;475000;477000;490000;491000;495000;490000;490000;490000;490000;490000;490000;490000;490000;490000;500000;510000;530000;530000;550000;550000;550000;550000;550000;550000;;;;
;;;;;3532000;3532000;3550000;3550000;3560000;3570000;3570000;3570000;3572000;3572000;3573000;3588000;3604000;3619000;3635000;3650000;3666000;3681000;3697000;3712000;3728000;3743000;3759000;3774000;3790000;3805000;3824000;3639000;3472000;3305000;3038000;3070000;2923000;2832000;2399000;2433000;2539000;2551000;2536000;2818000;2434000;2211000;2264000;2238000;2026000;1904600;1998000;1830000;1775000;1763000;1586000;1578000;1682000;1706700;1731500;1756200;6019000;6021000;;;;
;;;;;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;66000;66000;;;;
;;;;;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;38000;40000;40000;41000;41000;41000;41000;41000;42000;42000;44000;44000;44000;44000;46000;47000;47000;48000;48000;48000;48000;50000;50000;50000;50000;55000;55000;50000;50000;50000;50000;50000;;;;
;;;;;285000;285000;285000;285000;285000;285000;285000;285000;285000;285000;285000;285000;283000;283000;283000;283000;283000;283000;283000;283000;283000;283000;283000;283000;285000;285000;285000;280000;260000;260000;260000;250000;230000;230000;220000;210000;210000;210000;220000;210000;210000;200000;210000;210000;210000;210000;200000;200000;220000;225000;232000;232000;232000;225000;253500;267500;251500;252500;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1450000;1505000;1592000;1762000;1620000;1551000;1693000;1947000;1943000;2310000;2277000;2610000;2784000;2636000;2870000;3027000;3031000;3036000;2979000;2980000;3000000;3050000;3100000;3107000;3168000;3250000;3330000;3380000;3401000;3391000;3435000;3575000;3630000;3686000;3684000;3485000;3628000;3574000;3610000;3504000;3739000;3798000;3752000;3706000;3672000;3634000;3573000;3508600;3446000;3384000;3321200;3134900;3156400;3087970;3013700;2989200;2908600;2908600;;;;
