Data_arable_land
Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2022-07-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1705000;1705000;1710000;1710000;1715000;1715000;1720000;1715000;1720000;1725000;1730000;1735000;1740000;1753000;1720000;1680000;1650000;1610000;1580000;1542000;1600000;1552000;1560000;1575000;1590000;1605000;1616000;1625000;1583000;1604000;1644000;1633000;1569000;1621000;1574000;1607000;1609000;1602000;1610000;1616000;1500000;1360000;1299000;1277000;1296000;1233000;1195000;1236000;1199400;1186400;1155700;1147900;1194000;970000;1068000;976000;1033000;968000;;;;
;;;;;2499000;2433000;2413000;2422000;2582000;2683000;2694000;2687000;2725000;2725000;2735000;2725000;2723000;2707000;2691000;2596000;2499000;2395000;2304000;2286000;2307000;2281240;2264740;2275260;2305000;2318000;2288000;2310000;2296000;2284000;2267000;2615280;2616180;2612660;2817000;2710460;2778920;2793620;2994000;2801000;2861000;2936000;2906000;2965000;2563000;2605000;2564000;2642000;2884000;2873000;2808000;2829000;2707970;2640190;2865877.1;2786765.4;2910968.8;2910968.8;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;498000;437000;438000;369000;391000;498000;498000;560000;562000;562000;597000;598000;620000;670000;670000;670000;690000;690000;690000;690000;690000;690000;690000;690000;690000;690000;;;;
;;;;;16246000;16296000;16205000;15919000;15966000;15509000;15740000;15692000;16082000;15690000;16339000;16288000;16054000;15918000;15821000;15657000;15630000;15640000;15578000;15558000;15569000;15565000;15592000;15651000;15564000;15565000;15584000;15577000;15512000;15335000;15258000;15201000;14982000;14806000;14045000;14450000;14285000;13684000;13463000;13400000;13064000;12909000;13017000;13025000;12913000;12720000;12586000;12488000;12497000;12528000;12429000;12570000;12181000;12278000;12278220;12337180;12253767;11884251.9;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1115000;1066000;949000;874000;884000;888000;887000;859000;843000;677000;613600;545000;519300;591800;559100;599300;597800;596400;645000;632400;620500;638000;654000;675000;696000;684000;688000;;;;
;;;;;11000000;11459000;11631000;11631000;11995000;12070000;12150000;12250000;12530000;12530000;12770000;13000000;13000000;13000000;13000000;13000000;13030000;13060000;13105000;13000000;12800000;12600000;12400000;12000000;11850000;11600000;11300000;11100000;10900000;10750000;10650000;10650000;10000000;9932000;9940000;9927000;9900000;9950000;10000000;10000000;9908400;9853000;10928000;12364000;12823000;13396000;14038000;13606000;13948000;14565000;15193200;15346000;15471000;15596000;15721000;15846000;15969200;16187000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;2664700;2679100;2695500;2709600;2720500;2733400;2742400;2745100;2611500;2573200;2552700;2462700;2433100;2445400;2451800;2461900;2418600;2410100;2399500;2369000;2352700;2324700;2311400;2289700;2274800;2259600;2279200;2246400;2260700;2268900;2299700;2284400;2275600;2299700;2143500;2123400;2125600;2167200;2177100;2188100;2193300;2205100;2213800;2220700;2236500;2260500;2256700;2259100;2258300;2254800;2250500;2249100;2224100;2230800;2242300;2246000;2242000;2244000;;;;
;;;;;89000;89000;86000;86000;81000;81000;79000;67000;67000;67000;67000;70000;70000;70000;75000;80000;85000;90000;90000;90000;95000;100000;105000;110000;120000;120000;130000;140000;150000;160000;171000;180000;180000;180000;180000;180000;180000;170000;170000;170000;170000;170000;170000;170000;170000;170000;169000;169000;167600;165000;165000;165000;165000;165000;165000;165000;165000;165000;;;;
;;;;;19606000;19530000;19455000;19078000;18796000;18463000;18076000;17579000;17565000;17417000;17056000;17027000;17096000;17278000;17333000;17131000;17265000;17353000;17401000;17472000;17526000;17651000;17669000;17809000;17923000;17998000;18167000;17813000;17709900;17784800;17831300;17846900;18033800;18096200;18173100;18205000;18270100;18318000;18353100;18354400;18345900;18371500;18354800;18368000;18377600;18339000;18286200;18268700;18256200;18300700;18274400;18281700;18305700;18333100;18478700;18355916;18464367;18126400;;;;
;;;;;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;;;;
;;;;;90000;100000;110000;120000;130000;140000;150000;160000;170000;180000;190000;200000;210000;220000;232000;258000;273000;287000;288000;290000;290000;290000;290000;290000;290000;290000;290000;290000;290000;295000;295000;295000;295000;295000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;325000;;;;
;;;;;7175000;7236000;7275000;7354000;7339000;7324000;7309000;7277000;7163000;7102000;7132000;7129000;7075000;7067000;6869000;6894000;6921000;6936000;6829000;6918000;6907000;6913000;6899000;6922000;6990000;6940000;6935000;6886000;6702000;6620000;6567000;6554000;6091000;5911000;5936000;6098000;6368000;6253000;5917000;5876000;5651000;5786000;5659000;5819000;5729000;6094000;6085000;6005000;6049000;5970000;6062000;6212000;6265400;6233500;6011000;6026010.5;6082879.4;6037787.4;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;795000;795000;795000;771000;781000;785000;792000;790000;793000;795000;799000;802000;452000;470000;462000;463000;459000;433000;395000;377400;370000;415700;365000;367700;344000;324000;311000;;;;
;;;;;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1700000;1800000;1800000;1800000;1900000;1900000;1900000;1900000;2100000;2100000;2300000;2400000;2400000;2500000;2600000;2600000;2700000;2800000;2800000;2800000;2800000;3000000;3200000;3600000;3800000;3850000;3950000;4060000;4181000;4185000;4000000;4000000;4200000;4300000;4500000;4600000;4620000;4720000;4700000;4700000;4700000;4700000;4700000;4700000;4700000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;3520000;3519000;3495000;3471000;3448000;3424000;3400000;3376000;3352000;3329000;3305000;3281000;3257000;3234000;3210000;3186000;3162000;3138000;3115000;3091000;3067000;3043000;3019000;2996000;2972000;2948000;2924000;2901000;2877000;2853000;2829000;2805000;2782000;2758000;2734000;2617000;2500000;2385000;2200000;2149000;2200000;2390000;2475000;2550000;2741000;2750000;2800000;2850000;2850000;2900000;2900000;3000000;3100000;3100000;3100000;3100000;3100000;3100000;;;;
;;;;;121000;122000;123000;124000;125000;126000;128000;128000;130000;130000;133000;138000;143000;170000;164000;163000;170000;177000;166000;159000;181000;202000;183000;169000;169000;177000;184000;199000;181000;187000;196000;162000;161000;180000;185000;190000;205000;200000;240000;280000;300000;280000;300000;310000;325000;293000;303000;372000;428000;450000;450000;440000;440000;440000;440000;440000;440000;440000;;;;
;;;;;235000;235000;235000;235000;235000;235000;245000;245000;245000;245000;245000;245000;250000;255000;255000;255000;255000;255000;255000;255000;257000;270000;280000;285000;290000;250000;240000;230000;240000;250000;250000;250000;270000;280000;280000;270000;270000;260000;280000;300000;300000;280000;270000;280000;280000;280000;280000;280000;280000;300000;300000;300000;300000;300000;300000;300000;300000;300000;;;;
;;;;;110000;115000;120000;121000;121000;125000;125000;125000;125000;125000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;120000;120000;120000;120000;120000;120000;120000;120000;120000;120000;;;;
;;;;;2794000;2863000;3057000;3001000;2991000;2995000;3020000;3053000;3017000;3010000;2991000;2985000;2957000;2948000;2908000;2888000;2868000;2923000;2929000;2903000;2925000;2928000;2900000;2922000;2890000;2879000;2870000;2863000;2893000;2899000;2867000;2864000;2839000;2836000;2821000;2810000;2789000;2784000;2762000;2741000;2720000;2717000;2712000;2629000;2639000;2584000;2567000;2556000;2547000;2567000;2552000;2540000;2510000;2224000;2171000;2140000;2138000;2136600;;;;
;;;;;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;4000;4000;4000;4000;4000;4000;3000;3000;3000;3000;3000;3000;3000;3000;3000;2000;2000;2000;2000;2000;2000;2000;2000;1000;1000;1000;1000;1000;1000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;400;400;400;400;500;500;600;600;600;600;700;700;700;700;800;800;900;900;900;900;900;900;900;900;900;900;900;900;900;900;;;;;;;
;;;;;1100000;1100000;1100000;1100000;1100000;1100000;1110000;1110000;1100000;1100000;1100000;1120000;1150000;1170000;1170000;1200000;1250000;1250000;1249000;1270000;1275000;1300000;1300000;1300000;1300000;1300000;1300000;1300000;1300000;1300000;1300000;1300000;1324000;1354000;1355000;1361000;1370000;1380000;1390000;1395000;1405000;1425000;1938000;1600000;1400000;1506000;1576000;1325000;1260540;1196080;1131620;1067160;1002700;933800;862000;862000;862000;862000;;;;
;;;;;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;;;;
;;;;;350000;350000;350000;350000;350000;355000;355000;355000;355000;360000;360000;360000;362000;362000;364000;393000;422000;451000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;480000;450000;450000;450000;450000;450000;420000;420000;420000;420000;420000;420000;420000;420000;420000;420000;420000;420000;420000;420000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;13000;13000;13000;12000;12000;12000;12000;12000;12000;12000;11000;11000;11000;11000;9000;9000;8000;8000;8000;7000;7000;7000;7000;7000;7000;7000;7000;7000;6000;6000;6000;6000;6000;6000;6000;6000;5000;5000;5000;5000;5000;5000;5000;5000;5000;4000;4000;4000;4000;3500;3500;3100;3100;3100;3100;3000;3100;3000;;;;
;;;;;1295000;1305000;1310000;1313000;1318000;1324000;1330000;1332000;1328000;1330000;1333000;1368000;1378000;1384000;1413000;1438000;1503000;1504000;1494000;1484000;1481000;1476000;1467000;1464000;1455000;1451000;1441000;1431000;1446000;1462000;1492000;1515000;1683000;1650000;1600000;1600000;1520000;1520000;1468000;1068000;1068000;1068000;1068000;1050000;1050000;1050000;1050000;1018000;1020000;1020000;1020000;1020000;1020000;1020000;1020000;1020000;1020000;1020000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1212000;1062000;1104000;1117000;986000;983000;1089000;1068000;842000;853000;858000;864000;847000;873000;881000;852000;860700;868300;904400;896700;906400;876400;812900;843700;874000;817000;804000;;;;
;;;;;900000;900000;900000;900000;900000;900000;900000;900000;900000;900000;900000;768000;768000;768000;768000;770000;770000;780000;780000;780000;780000;780000;780000;780000;780000;780000;780000;780000;780000;780000;780000;780000;780000;800000;800000;800000;900000;900000;900000;900000;900000;900000;900000;900000;900000;900000;1050000;1000000;1026330;1100000;1060000;1000000;1070000;1070000;1070000;1070000;1070000;1070000;;;;
;;;;;5194000;5192000;5195000;5213000;5229000;5225000;5215000;5207000;5200000;5193000;5184000;5177000;5176000;5129000;5128000;5108000;5071000;5046000;5037000;5027000;5031000;5019000;5020000;5027000;5036000;5043000;5048000;5050000;5052000;5054000;5056000;4742000;4748000;4749000;4806000;4811000;4820000;4819000;4815000;4602000;4606000;4606000;4597000;4598000;4601000;4597000;4592000;4585000;4585000;4392000;4395000;4397000;4316000;4322000;4324000;4323000;4323000;4324000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18000000;18021000;19500000;20178000;21170000;21156000;20860000;20253000;18081000;18100000;18129000;17126000;17342000;17941000;18500000;18700000;19700000;20500000;20200000;20081000;22406000;24666000;22946000;21500000;22000000;22700000;23600000;23600000;23500000;23500000;23500000;23500000;23800000;25200000;26300000;26300000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;25000;25000;24700;24200;24400;23200;23100;22800;22600;21800;21200;21000;20800;21100;20900;21200;21400;21600;21900;22200;22000;21800;21500;21300;21100;20900;20700;20500;20300;20100;19900;19700;19500;19300;19100;18900;18700;18500;18300;18100;17900;18500;17570;18100;17810;27960;27520;27280;25620;25380;24970;21500;21900;22100;23200;23500;23000;23100;;;;
;;;;;155806000;156700000;157470000;157732000;158216000;158590000;159780000;160069000;159976000;160560000;159756000;160186000;161044000;161501000;161838000;162057000;162059000;163239000;163444000;162854000;162912000;163246000;162732000;163618000;163540000;163409000;163205000;162868000;163476000;163459000;163182000;162706000;162586000;162525000;161911000;161025000;161601000;161409000;160975000;160930000;160325000;160432000;159799000;159681000;159444000;158662000;158022000;157995000;157924000;157009000;156979000;156546000;156442000;156463000;156416000;156416000;156416000;156416000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1590000;1567000;1561000;1526000;1492000;1429000;1424000;1394000;1381000;1377000;1363000;1333000;1283000;1253000;1234000;1208000;1183000;1158000;1133000;1108000;1083000;1058000;1017000;1041000;1029000;1007000;980000;1027000;1052000;1041000;1029000;1003000;1023000;1014000;1030000;1059000;1035000;1085000;1076000;1077000;1188000;1177000;1182000;1205000;1184000;1153000;465450;485650;462590;438840;459140;482610;474040;465180;453000;461000;461000;451000;;;;
;;;;;14980000;14990000;15000000;15010000;15020000;15030000;15050000;15100000;15120000;15150000;15581000;16227000;16901000;16370000;15850000;15330000;14969000;14192000;15194000;12981000;13550000;14141000;14400000;14650000;14900000;15150000;15400000;15580000;15400000;15190000;16681000;16969000;17332000;17337000;17388000;17097000;16502000;16837000;16337000;14924000;15861000;16029000;16197000;16365000;16533000;16701000;16869000;15545000;15566000;15390000;15214000;15038000;14687000;14687000;14687000;14687000;14687000;14687000;;;;
;;;;;4600000;4650000;4700000;4750000;4800000;4800000;4850000;4850000;4850000;4848000;4848000;5000000;5000000;5100000;5100000;5100000;5100000;5200000;5250000;5250000;5250000;5250000;5250000;5250000;5250000;5250000;5250000;5300000;5000000;5000000;5400000;5300000;5600000;5050000;4800000;4800000;4400000;4650000;4550000;4100000;4300000;4650000;4500000;4500000;5200000;4800000;4950000;4000000;3650000;4000000;4300000;4318500;4613750;5019000;5000000;5000000;5000000;5000000;;;;
;;;;;120000;120000;120000;120000;120000;120000;120000;120000;120000;121000;122000;123000;124000;125000;126000;127000;129000;130000;131000;133000;133000;134000;134000;134000;134000;135000;135000;135000;135000;136000;136000;136000;135000;135000;135000;134000;133000;130000;129000;129000;129000;129000;129000;129000;129000;129000;125000;125000;124000;123000;122200;121200;121200;121200;121000;121000;121000;121000;;;;
;;;;;318000;309000;320000;322000;312000;322000;323000;322000;321000;325000;326000;325000;334000;339000;336000;325000;325000;325000;325000;325000;325000;325000;315000;328000;327000;338000;339000;339000;338000;343000;347000;347000;347000;349000;345000;336000;336000;335000;333000;338000;342000;349000;334000;311000;311000;303000;305800;299700;304300;293600;295700;294800;285800;300500;297200;295000;387000;383500;;;;
;;;;;12862000;12795000;12674000;12598000;12524000;12444000;12389000;12346000;12221000;11984000;9511000;9393000;9288000;9319000;9330000;9364000;9359000;9451000;9476000;9483000;9466000;9458000;9128000;9097000;9050000;9086000;9065000;8958000;8993000;9012000;8900000;8750000;8550000;8329000;8283000;8332000;8253000;8329000;8545000;8479000;8339000;8287000;7959000;7979000;7780000;7376000;7171000;7498000;6981000;7042000;6720000;7118000;6827000;6728000;6601000;6697000;6736270;6723000;;;;
;;;;;166000;166000;166000;166000;150000;150000;155000;155000;155000;145000;145000;145000;145000;145000;145000;145000;145000;145000;135000;135000;135000;125000;115000;115000;115000;115000;115000;115000;120000;119000;126000;136000;174000;161000;158000;155000;150000;145000;143000;140000;140000;135000;135000;133000;128000;128000;125000;120000;120000;120000;120000;120000;120000;120000;120000;120000;120000;120000;;;;
;;;;;270000;272000;273000;275000;276000;278000;279000;281000;282000;284000;285000;287000;288000;290000;291000;293000;294000;296000;297000;299000;290600;296100;304000;212100;276800;276800;303000;308000;292800;179200;149400;259700;229000;211000;252000;180000;187000;190000;190000;190000;192000;195000;177000;209000;185000;190000;140300;149500;200800;177600;175600;217000;231000;237500;227900;237260;187000;201000;;;;
;;;;;5660000;5620000;5570000;5530000;5478000;5453000;5377000;5320000;5162000;5196000;5125000;5057000;5015000;4978000;4945000;4921000;4911000;4898000;4882000;4874000;4861000;4852000;4843000;4836000;4830000;4820000;4814000;4806000;4792000;4768000;4740000;4714000;4685000;4660000;4630000;4602000;4569000;4535000;4503000;4474000;4444000;4419000;4397000;4379000;4360000;4343000;4326000;4308000;4294000;4282000;4254000;4246000;4238000;4222000;4205000;4184000;4161000;4142000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35055000;35040000;34683000;34716500;33007600;32551800;32154800;32056300;30159300;29359700;28345900;28343600;28478800;28562300;28616000;28641200;28519800;28618200;28683800;29180600;29332500;29394700;29470200;29601100;29642200;29657100;29748400;;;;
;;;;;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3500000;3800000;3800000;3800000;3800000;3800000;3800000;3800000;3800000;3800000;3725000;4574000;4593000;4655000;4882000;5273000;4990000;5097000;5292000;5060000;5452000;5438000;4671000;4814000;4678000;5096000;4891000;5128000;5091000;5146000;5258000;5264000;5310000;5300000;5300000;5500000;5500000;5800000;5900000;5800000;5800000;5800000;5800000;5800000;5800000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1320000;1352000;1305000;1258000;1357000;1358000;1360000;1368000;1356000;1344000;1345000;1344000;1334000;1284000;1283700;1280000;1279500;1276000;1276200;1275900;1276600;1278700;1280600;1280600;1287800;1287800;1288000;;;;
;;;;;2838000;2850000;2850000;2900000;2900000;2900000;2902000;2850000;2750000;2693000;1800000;1800000;1800000;1850000;1850000;1900000;1900000;1950000;1950000;2000000;2000000;2030000;2040000;2040000;2300000;2600000;3000000;3450000;3685000;3695000;3700000;3700000;3716000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3700000;3800000;3800000;3800000;3800000;3800000;3911000;3911000;3911000;3911000;;;;
;;;;;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;;;;
;;;;;10000;10000;10000;10000;10000;10000;10000;10000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;7000;7000;6000;6000;6000;7000;7000;7000;7000;7000;7000;3970;3980;3990;4000;4000;4500;5000;5000;5000;5000;5000;5000;5000;5000;;;;
;;;;;2033000;1998000;2010000;2091000;2163000;2187000;2196000;2174000;2156000;2153000;2134000;2104000;2095000;2075000;2061000;2060000;2067000;2079000;2069000;2060000;2051000;2049000;2032000;2017000;2009000;2004000;2007000;1997000;1978000;1953000;1927000;1898000;1875000;1845000;1783000;1745000;1722000;1708000;1699000;1718000;1689000;1674000;1659000;1653000;1643000;1619000;1597000;1565000;1536000;1507000;1488000;1522200;1495800;1476000;1464500;1421000;1396700;1374000;;;;
;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;2000;2000;2000;3000;3000;4000;4000;4000;4000;4000;4000;4000;5000;5000;5000;6000;6000;6000;7000;10000;13000;12000;12000;11000;11000;11000;11300;11300;10500;10000;10500;10000;11600;9500;7700;8000;8600;8000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;640000;640000;640000;640000;640000;650000;650000;658000;660000;665000;670000;700000;720000;740000;750000;760000;770000;775000;780000;780000;780000;785000;785000;790000;792000;793000;793000;795000;795000;799000;799000;799000;799000;822000;828000;824000;854000;862000;877000;920000;970000;1015000;1060000;1105000;1150000;1200000;1240000;1290000;1360000;1400000;1428000;1450000;1489000;1596000;1650000;1650000;1600000;1550000;;;;
;;;;;172000;180000;180000;190000;206000;206000;216000;226000;230000;235000;240000;240000;240000;237000;234000;231000;228000;224000;220000;210000;210000;208000;208000;208000;204000;200000;188000;186000;184000;183000;181000;180000;180000;180000;180000;183000;185000;187000;129000;129000;120000;130000;136000;136300;141700;136000;134200;123000;123000;114000;125000;132000;132000;132000;132000;132000;132000;132000;;;;
;;;;;378000;376000;376000;373000;373000;370000;370000;368000;368000;366000;366000;366000;366000;366000;366000;366000;371000;371000;371000;371000;371000;375000;380000;380000;380000;390000;390000;400000;400000;350000;350000;350000;350000;350000;350000;350000;370000;380000;400000;400000;400000;400000;400000;400000;400000;400000;400000;430000;470000;480000;500000;500000;500000;500000;500000;500000;500000;500000;;;;
;;;;;1700000;1710000;1710000;1715000;1715000;1720000;1720000;1725000;1725000;1725000;1730000;1730000;1735000;1735000;1740000;1740000;1745000;1750000;1750000;1753000;1758000;1765000;1775000;1780000;1787000;1795000;1800000;1800000;1805000;1805000;1810000;1815000;1815000;1825000;1870000;2028000;2028000;1815000;1815000;1815000;1815000;1815000;1815000;1750000;1750000;1750000;1750000;1750000;1750000;1716000;1716000;1720000;1720000;1720000;1720000;1720000;1720000;1720000;;;;
;;;;;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5300;5000;5000;5000;5000;4700;4500;4300;4000;3700;3500;3300;3300;3000;3000;3000;2900;2800;2700;2700;2500;2000;1900;1900;2000;2000;2000;2000;2000;2000;2000;2200;2300;2400;2500;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;3900;3900;3900;3900;3900;3800;3800;3800;3500;3300;3000;3000;2600;2320;2160;2160;2160;2160;;;;
;;;;;595000;577000;792000;790000;793000;792000;792000;798000;804000;810000;816000;822000;828000;834000;850000;900000;950000;1000000;900000;900000;900000;857000;869000;872000;876000;887000;895000;898000;901000;900000;903000;905000;880000;883000;886000;887000;888000;889000;905000;915000;916000;936000;950000;900000;1100000;1050000;1000000;1200000;1100000;1200000;1300000;1250000;1300000;1300000;1300000;1310000;1320200;1371600;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;358000;353000;353000;355000;355000;360000;360000;365000;365000;368000;360000;355000;355000;355000;372000;355000;288000;289000;305000;292000;298000;288000;283000;297000;304000;287000;326000;339000;301000;317000;319000;332000;330000;325000;320000;322000;325000;325000;325000;330000;330000;300000;300000;310000;323000;303000;325000;358000;335000;322000;308000;281300;248100;272300;219000;352000;414000;429300;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2885000;2828000;2590000;2866000;2866000;2878000;2890000;2953000;2878000;1631000;1639000;1525000;1616400;1906500;1878800;1835600;1861500;2053700;2127400;2185700;2260500;2290500;2350200;2171900;2142800;2103700;2115000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62000;62000;62000;62000;62000;60000;60000;61000;62000;61770;61950;62120;62560;62450;62610;62800;61860;62038;62114;;;;
